#n,fm,afm,uuuddd,face,tri,twin,one
0.220,0.0000000000,2.4795906197,1.0108759586,0.7455614150,1.0904508810,0.7455614150,0.3652951522
0.230,0.0000000000,2.5559133061,1.0190805492,0.7755483060,1.1656497478,0.7755483060,0.3797215530
0.240,0.0000000000,2.6295929161,1.0244903714,0.8027062766,1.2389447953,0.8027062766,0.3939303063
0.250,0.0000000000,2.7007140944,1.0271948907,0.8270915624,1.3103447842,0.8270915624,0.4084065162
0.260,0.0000000000,2.7693605695,1.0272830553,0.8487605029,1.3798519901,0.8487605029,0.4236318230
0.270,0.0000000000,2.8356206867,1.0248507176,0.8677771489,1.4474653355,0.8677771489,0.4401255869
0.280,0.0000000000,2.8995824908,1.0199934937,0.8842068880,1.5131669157,0.8842068880,0.4584634356
0.290,0.0000000000,2.9613394093,1.0128132648,0.8981217038,1.5769092980,0.8981217038,0.4793291293
0.300,0.0000000000,3.0209900704,1.0034181211,0.9096010189,1.6386156992,0.9096010189,0.5035747152
0.310,0.0000000000,3.0786405657,0.9920193047,0.9187334114,1.6985785516,0.9187334114,0.5323538460
0.320,0.0000000000,3.1343984943,0.9792013039,0.9256110364,1.7572213315,0.9256110364,0.5674243591
